@relation playStoreGamesTest

@attribute Reviews numeric
@attribute Size numeric
@attribute Installs numeric
@attribute Type numeric
@attribute Price numeric
@attribute 'Content Rating' numeric
@attribute Genres numeric
@attribute 'Last Updated' numeric
@attribute Rating {2.5,3,3.5,4,4.5,5}

@data
710600,43,100000000,0,0,1,9,2019,4.5
23793585,47,100000000,0,0,3,2,2019,4.5
31574410,92,1000000000,0,0,1,3,2019,4.5
48094,36,1000000,0,0,1,6,2019,5
2513681,47,50000000,0,0,3,2,2019,4.5
67739,23,10000000,0,0,1,13,2019,4
86980,48,10000000,0,0,2,14,2019,4.5
6912837,148,100000000,0,0,1,12,2019,4.5
8004306,122,100000000,0,0,1,2,2019,4.5
197489,33,10000000,0,0,2,11,2019,4.5
1901514,105,100000000,0,0,1,12,2019,4.5
126312,33,10000000,0,0,1,3,2019,4.5
26837863,50,500000000,0,0,1,12,2019,5
263266,31,10000000,0,0,1,14,2019,4.5
92381,62,10000000,0,0,1,12,2019,3.5
254531,50,10000000,0,0,1,14,2019,4
1089206,121,50000000,0,0,1,5,2019,5
131892,62,10000000,0,0,1,5,2019,5
11523364,50,100000000,0,0,4,2,2019,4.5
2280516,29,10000000,0,0,2,4,2019,4.5
1079353,103,10000000,0,0,1,16,2019,4.5
43954,41,10000000,0,0,2,9,2019,3.5
201097,31,10000000,0,0,1,2,2019,4.5
17499332,58,500000000,0,0,1,16,2019,4.5
4537,15,100000,0,0,1,6,2017,4.5
1218,15,500000,0,0,2,2,2018,4.5
1644,15,10000,1,7.99,1,4,2017,4.5
47644,15,5000000,0,0,1,9,2018,4.5
18125,15,100000,1,4.99,1,14,2018,4.5
38207,15,100000,1,9.99,3,15,2015,4.5
1375988,15,50000000,0,0,1,4,2018,4.5
26138,15,1000000,0,0,1,2,2018,5
51049224,130,500000000,0,0,1,13,2019,4.5
14121,50,5000000,0,0,1,9,2019,4.5
1240781,50,100000000,0,0,1,10,2019,4.5
10733928,90,100000000,0,0,1,8,2019,4.5
9495195,74,500000000,0,0,1,11,2019,4.5
230451,86,10000000,0,0,2,15,2019,4.5
15521799,99,100000000,0,0,1,2,2019,4.5
400084,97,10000000,0,0,1,15,2019,4
1609370,98,10000000,0,0,1,9,2019,4.5
2877529,99,100000000,0,0,2,2,2019,4.5
569547,72,10000000,0,0,2,15,2019,4.5
2357457,83,50000000,0,0,2,7,2019,4.5
3005444,50,10000000,1,4.15,1,3,2019,4.5
82734,49,1000000,1,0.1,2,11,2016,5
107054,19,1000000,1,0.45,1,14,2015,4.5
4750,50,100000,1,10,1,16,2019,4.5
13656,53,500000,1,0.5,1,14,2019,4.5
744342,28,10000000,1,0.5,4,2,2019,4.5
57360,42,500000,1,0.4,1,11,2019,4.5
2356,26,50000,1,6.6,3,2,2018,4
51523,36,500000,0,0,3,8,2018,4
47151,36,5000000,0,0,2,2,2017,4
2233,36,1000000,0,0,1,11,2018,4.5
25952,36,500000,0,0,2,2,2015,4.5
85468,36,1000000,1,0.99,1,3,2018,4.5
48507,52,1000000,1,7,1,14,2019,4.5
35100,44,100000,1,0.3,1,13,2019,5
37277,89,500000,1,0.4,1,3,2016,4.5
28351,40,500000,1,0.45,1,2,2019,4
8040,19,100000,1,9,1,14,2016,4
6096,20,100000,1,0.9,4,2,2016,4.5
4193,25,100000,1,0.1,3,2,2016,4
7728,39,500000,0,0,3,8,2018,4.5
55380,39,5000000,0,0,1,2,2018,4.5
8649,39,1000000,0,0,3,2,2018,4.5
3017,39,500000,0,0,4,8,2018,4.5
6026,39,100000,0,0,3,2,2018,4.5
10256,39,1000000,0,0,1,2,2017,4.5
567984,39,10000000,0,0,1,11,2018,4.5
260527,49,10000000,0,0,1,3,2017,5
37139,49,1000000,0,0,2,2,2018,5
526595,49,10000000,0,0,2,3,2018,5
172281,50,5000000,0,0,1,5,2018,4
71476,50,1000000,0,0,2,2,2018,4.5
1012,50,10000,0,0,3,2,2015,4.5
37789,58,1000000,0,0,3,8,2018,4
2903386,58,100000000,0,0,4,2,2018,4.5
634159,58,10000000,0,0,3,2,2018,4.5
6181640,58,100000000,0,0,1,3,2017,4.5
4416,59,500000,0,0,3,7,2017,3.5
234606,59,10000000,0,0,1,2,2018,4.5
16876,59,1000000,0,0,3,6,2018,4.5
41683,63,1000000,0,0,1,3,2017,4
9898,63,1000000,0,0,4,2,2018,4.5
29062,63,1000000,0,0,1,7,2017,4.5
492,63,100000,0,0,3,2,2017,4.5
760628,63,10000000,0,0,1,3,2017,5
951,64,100000,0,0,3,2,2018,4.5
5120,50,100000,1,2.8,1,14,2019,4
459384,15,1000000,1,5,4,2,2019,4.5
17895,50,100000,1,0.1,3,2,2019,4
154485,101,5000000,1,0.3,1,2,2019,5
197533,109,5000000,1,0.18,2,2,2019,4.5
283,43,5000,1,0.35,1,3,2017,4.5
26905,27,500000,1,0.1,1,13,2019,4.5
10965,50,100000,1,0.35,1,13,2018,4.5
9613,35,100000,1,1.3,1,14,2019,4
12026,88,100000,1,2,1,13,2018,4.5
