Reviews,Size,Installs,Type,Price,'Content Rating',Genres,'Last Updated',Rating
207,0.116,50000,0,0,1,1,2011,4.5
1015,0.643,100000,0,0,1,2,2015,3.5
387,1.1,50000,0,0,1,1,2011,4
13304,1.3,1000000,0,0,1,3,2016,4.5
547,1.3,10000,0,0,1,4,2015,5
265,1.3,1000,1,3.49,1,4,2015,5
768,1.4,100000,0,0,1,3,2013,3.5
32849,1.5,1000000,0,0,1,5,2015,4.5
705,1.8,10000,0,0,1,4,2015,5
404,2.2,100000,0,0,1,3,2017,4
278,2.4,10000,0,0,3,6,2017,2.5
69115,2.4,10000000,0,0,1,3,2018,4
531074,2.5,10000000,0,0,1,3,2018,4.5
22191,3,1000000,0,0,1,4,2015,4
58387,3.3,1000000,0,0,1,5,2013,4.5
375996,3.3,10000000,0,0,1,4,2018,4.5
783,3.4,100000,0,0,1,6,2014,4
42182,3.4,1000000,0,0,1,3,2018,4
211,3.6,50000,0,0,1,2,2018,4.5
4575,3.8,500000,0,0,1,3,2017,3.5
295241,3.9,10000000,0,0,1,5,2018,5
295305,3.9,10000000,0,0,1,5,2018,5
295576,3.9,10000000,0,0,1,5,2018,5
344585,47.265,50000000,0,0,1,5,2018,4.5
2717,4,100000,0,0,3,2,2017,3.5
38767,4.1,5000000,0,0,2,2,2011,4
47698,4.1,5000000,0,0,1,4,2016,4.5
963,4.1,50000,0,0,1,4,2017,5
14283,4.2,1000000,0,0,3,7,2017,4.5
2208,4.4,500000,0,0,1,3,2018,4.5
85317,4.5,5000000,0,0,1,4,2018,4
1686,4.6,100000,0,0,3,7,2015,4.5
139432,4.7,10000000,0,0,1,8,2013,4.5
214,4.9,50000,0,0,1,8,2018,4
1468,4.9,10000,1,4.99,3,8,2018,4.5
17039,4.9,5000000,0,0,1,9,2018,4.5
17044,4.9,5000000,0,0,1,9,2018,4.5
19291,5.1,1000000,0,0,1,4,2018,3.5
5849,5.1,500000,0,0,1,6,2017,4.5
568391,5.2,5000000,0,0,3,2,2014,5
3904,5.5,10000,1,2.99,2,2,2014,4.5
2700,5.7,500000,0,0,1,4,2018,4
514,5.9,5000,1,6.99,3,8,2018,4.5
146,6,10000,0,0,4,10,2018,4.5
144,6.3,1000,1,6.99,1,8,2018,5
1290,6.4,100000,0,0,1,5,2018,4
601,6.4,100000,0,0,1,6,2015,4.5
38297,6.4,10000000,0,0,1,3,2018,4.5
97209,6.7,1000000,0,0,1,4,2018,4.5
29330,6.9,1000000,0,0,1,2,2012,4.5
121082,7,10000000,0,0,3,8,2018,4
13388,7.1,500000,0,0,1,3,2015,4
5291,7.2,100000,0,0,3,8,2014,4
697805,7.4,50000000,0,0,1,11,2018,4.5
